graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	subject	predicate	object	statement	qualifier	is_subj_person	is_subj_location	is_subj_event	is_subj_reason	is_subj_manner	is_obj_person	is_obj_location	is_obj_event	is_obj_reason	is_obj_manner	subj_mentions	pred_mentions	obj_mentions	sp_mentions	so_mentions	po_mentions	spo_mentions	event	distance	subj_centr_degree	obj_centr_degree	subj_wiki_occurs	obj_wiki_occurs	used	relevant
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P21	http://www.wikidata.org/entity/Q6581097	http://www.wikidata.org/entity/statement/q56226-6523C1D7-396E-45B8-B778-7B32DE7F11FF	http://www.wikidata.org/prop/statement/P21	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	10000	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1441	http://www.wikidata.org/entity/Q15524911	http://www.wikidata.org/entity/statement/Q56226-660c1efc-4efb-8a06-3341-eab6a902cb7c	http://www.wikidata.org/prop/statement/P1441	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	53	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P6262	http://www.wikidata.org/entity/Q1860	http://www.wikidata.org/entity/statement/Q56226-6679AE65-5605-49E6-8D8B-2938B4C1124D	http://www.wikidata.org/prop/qualifier/P407	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P3373	http://www.wikidata.org/entity/Q317824	http://www.wikidata.org/entity/statement/Q56226-6898F83B-2E7D-4FA0-A0DF-1B188C271310	http://www.wikidata.org/prop/statement/P3373	1	0	0	0	0	1	0	0	0	0	124	4	3	4	3	1	1	0	0	0	86	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P410	http://www.wikidata.org/entity/Q423	http://www.wikidata.org/entity/statement/q56226-753db20d-4b8c-62f6-2fd3-6652090931d0	http://www.wikidata.org/prop/qualifier/P945	1	0	0	0	0	0	1	0	0	0	124	4	3	4	3	1	1	0	0	0	10000	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P410	http://www.wikidata.org/entity/Q240670	http://www.wikidata.org/entity/statement/q56226-753db20d-4b8c-62f6-2fd3-6652090931d0	http://www.wikidata.org/prop/qualifier/P598	1	0	0	0	0	1	0	0	0	0	124	4	3	4	3	1	1	0	0	0	173	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P410	http://www.wikidata.org/entity/Q8032102	http://www.wikidata.org/entity/statement/q56226-753db20d-4b8c-62f6-2fd3-6652090931d0	http://www.wikidata.org/prop/statement/P410	1	0	0	0	0	0	0	0	0	0	124	4	2	4	2	1	1	0	0	0	20	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P102	http://www.wikidata.org/entity/Q49623	http://www.wikidata.org/entity/statement/q56226-772B3ADC-8AE8-4861-8F4C-BB205F7E680F	http://www.wikidata.org/prop/statement/P102	1	0	0	0	0	1	0	0	0	0	124	1	2	1	2	1	1	0	0	0	912	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P3373	http://www.wikidata.org/entity/Q4330912	http://www.wikidata.org/entity/statement/Q56226-785CF762-CAED-4D29-8775-C0429AD1591B	http://www.wikidata.org/prop/statement/P3373	1	0	0	0	0	1	0	0	0	0	124	4	2	4	2	1	1	0	0	0	75	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P22	http://www.wikidata.org/entity/Q10665	http://www.wikidata.org/entity/statement/q56226-88E8F2D7-52AB-41E2-B85C-7E63917C84E4	http://www.wikidata.org/prop/statement/P22	1	0	0	0	0	1	0	0	0	0	124	1	6	1	6	1	1	0	0	0	261	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q98801004	http://www.wikidata.org/entity/statement/Q56226-954fc532-401c-0c9d-b95a-07c5ae4d3043	http://www.wikidata.org/prop/statement/P39	1	0	0	0	0	0	0	0	0	0	124	13	2	13	2	1	1	0	0	0	10	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P140	http://www.wikidata.org/entity/Q7066	http://www.wikidata.org/entity/statement/Q56226-9cbdb19b-49ce-a4d2-f795-386156ef904d	http://www.wikidata.org/prop/statement/P140	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	5447	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P166	http://www.wikidata.org/entity/Q65123968	http://www.wikidata.org/entity/statement/Q56226-a1f4a890-409d-0125-b3a0-e4c553060e55	http://www.wikidata.org/prop/statement/P166	1	0	0	0	0	0	0	0	0	0	124	12	2	12	2	1	1	0	0	0	88	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P734	http://www.wikidata.org/entity/Q13083721	http://www.wikidata.org/entity/statement/Q56226-0183f30e-421b-3958-9b91-71d3a3a33b49	http://www.wikidata.org/prop/statement/P734	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P3602	http://www.wikidata.org/entity/Q14912182	http://www.wikidata.org/entity/statement/Q56226-028871B8-80C3-49F0-9F99-B231CBEC91D2	http://www.wikidata.org/prop/statement/P3602	1	0	0	0	0	0	0	1	0	0	124	1	2	1	2	1	1	0	0	0	22	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P19	http://www.wikidata.org/entity/Q18808	http://www.wikidata.org/entity/statement/q56226-0D1A06A3-70CE-47D8-84E6-5FAC0ABDA70E	http://www.wikidata.org/prop/statement/P19	1	0	0	0	0	0	1	0	0	0	124	1	2	1	2	1	1	0	0	0	2455	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1559	http://www.wikidata.org/entity/Q8222	http://www.wikidata.org/entity/statement/Q56226-15eb781d-4a32-d47b-0c22-bdfc980a8044	http://www.wikidata.org/prop/qualifier/P282	1	0	0	0	0	0	0	1	0	0	124	2	1	2	1	1	1	0	0	0	10000	0	0	0	1
